Gene,F_score,p_value,p_value_FDR,Rejected_FDR_0.05
CPQ,485.8252536698024,0.0,0.0,True
SLC6A1,485.5766533432498,0.0,0.0,True
RSPH6A,484.8591109475129,0.0,0.0,True
BHLHE41,484.43918886423916,0.0,0.0,True
BMPR1B,484.0204238178523,0.0,0.0,True
GABRB2,483.4277077438905,0.0,0.0,True
NPY1R,483.30739906072466,0.0,0.0,True
RAB27B,482.7079756212295,0.0,0.0,True
MBIP,482.5360539145443,0.0,0.0,True
CLDN3,482.23951801964336,0.0,0.0,True
C9,482.2118093692821,0.0,0.0,True
CLEC3B,482.0497704178355,0.0,0.0,True
TMEM79,482.01491217621447,0.0,0.0,True
PIMREG,480.5453833353154,0.0,0.0,True
REG1A,480.3260718691184,0.0,0.0,True
ITGB4,480.3081688145562,0.0,0.0,True
PCSK6,480.1992155648077,0.0,0.0,True
PCLAF,479.92026159983493,0.0,0.0,True
MLPH,479.8658938989614,0.0,0.0,True
MYRF-AS1,479.8575618992632,0.0,0.0,True
BMP7,479.5563836688994,0.0,0.0,True
SYTL2,479.2380054201091,0.0,0.0,True
RAET1L,479.02842772815114,0.0,0.0,True
NDRG1,478.68809954724406,0.0,0.0,True
